ID_fat_studio_det,id_fatt_studio,articolo,qta,prezzo,data_consegna
525,526,46,100,5.1000,"08/13/18 00:00:00"
526,527,38,26400,0.3450,"08/13/18 00:00:00"
527,527,38,28720,0.3450,"08/13/18 00:00:00"
528,528,38,28700,0.3450,"08/15/18 00:00:00"
529,529,8,24740,0.4400,"08/15/18 00:00:00"
530,530,38,28680,0.3450,"08/20/18 00:00:00"
531,531,38,28700,0.3450,"08/21/18 00:00:00"
532,532,8,25550,0.4400,"08/22/18 00:00:00"
533,533,38,28680,0.3450,"08/22/18 00:00:00"
534,534,59,750,5.0000,"08/23/18 00:00:00"
535,535,192,800,4.8500,"08/22/18 00:00:00"
536,536,46,250,5.1000,"08/27/18 00:00:00"
537,537,172,600,4.8500,"08/28/18 00:00:00"
538,538,38,28720,0.3450,"08/27/18 00:00:00"
539,539,21,5000,0.7700,"08/28/18 00:00:00"
540,540,46,250,5.1000,"08/30/18 00:00:00"
541,541,38,55740,0.3450,"08/28/18 00:00:00"
542,542,8,25114,0.4400,"08/29/18 00:00:00"
543,543,46,100,5.1000,"09/03/18 00:00:00"
544,544,150,1496,12.7000,"09/03/18 00:00:00"
545,545,21,6000,0.8700,"09/04/18 00:00:00"
546,546,59,750,5.0000,"09/05/18 00:00:00"
547,547,38,28780,0.3450,"09/03/18 00:00:00"
548,548,38,28700,0.3450,"09/04/18 00:00:00"
549,549,38,28120,0.3450,"09/05/18 00:00:00"
550,550,8,24700,0.4400,"09/05/18 00:00:00"
551,551,46,200,5.1000,"09/10/18 00:00:00"
552,552,33,4000,5.9000,"09/10/18 00:00:00"
553,553,45,2000,2.8800,"09/11/18 00:00:00"
554,554,21,6000,0.8700,"09/11/18 00:00:00"
555,555,38,28660,0.3450,"09/10/18 00:00:00"
556,556,33,1550,6.3500,"09/12/18 00:00:00"
557,557,33,8000,6.5300,"09/13/18 00:00:00"
558,558,38,28740,0.3450,"09/11/18 00:00:00"
559,559,38,28680,0.3450,"09/12/18 00:00:00"
560,560,8,26040,0.4400,"09/12/18 00:00:00"
561,561,21,11300,0.9000,"09/17/18 00:00:00"
562,562,38,55020,0.3450,"09/17/18 00:00:00"
563,563,38,28820,0.3450,"09/18/18 00:00:00"
564,564,8,25600,0.4400,"09/19/18 00:00:00"
565,565,46,250,5.1000,"09/24/18 00:00:00"
567,567,38,26080,0.3450,"09/24/18 00:00:00"
568,568,21,6000,0.7700,"09/25/18 00:00:00"
569,569,38,29300,0.3450,"09/25/18 00:00:00"
570,570,8,25330,0.4400,"09/26/18 00:00:00"
571,571,38,27980,0.3450,"09/27/18 00:00:00"
572,572,46,600,5.1000,"10/01/18 00:00:00"
573,573,150,1511,12.7000,"10/01/18 00:00:00"
574,574,21,6000,0.8700,"10/02/18 00:00:00"
575,575,70,1000,7.8800,"10/03/18 00:00:00"
576,576,38,54880,0.3450,"10/01/18 00:00:00"
577,577,38,28440,0.3450,"10/02/18 00:00:00"
578,578,8,25640,0.4500,"10/03/18 00:00:00"
579,579,46,200,5.1000,"10/08/18 00:00:00"
580,580,183,140,3.2000,"10/08/18 00:00:00"
581,581,21,6000,0.7700,"10/09/18 00:00:00"
582,582,38,28700,0.3450,"10/08/18 00:00:00"
583,583,46,200,5.1000,"10/11/18 00:00:00"
584,584,38,28700,0.3450,"10/09/18 00:00:00"
585,585,38,25940,0.3450,"10/10/18 00:00:00"
586,586,8,25650,0.4500,"10/10/18 00:00:00"
587,587,33,1000,6.5000,"10/15/18 00:00:00"
