id_fattura,confermaordine,n_fat,data_fat,nota_acr,articolo,qta,prezzo,iva_perc,data_consegna,compilato,fatturata
12780,7592,12,"06/12/25 00:00:00",0,180,1800,1.5500,0,"06/12/25 00:00:00",1,1
12781,7592,3,"07/03/25 00:00:00",0,180,1800,1.5500,0,"07/03/25 00:00:00",1,1
12782,7592,10,"07/10/25 00:00:00",0,180,1200,1.5500,0,"07/10/25 00:00:00",1,1
12783,7593,15,"07/15/25 00:00:00",0,10,24000,2.6200,0,"07/15/25 00:00:00",1,1
12784,7594,29,"05/29/25 00:00:00",0,86,900,9.7000,0,"05/29/25 00:00:00",1,1
12785,7595,16,"06/16/25 00:00:00",0,92,21006,4.1500,0,"06/16/25 00:00:00",1,1
12786,7596,5,"06/05/25 00:00:00",0,229,22000,1.0900,0,"06/05/25 00:00:00",1,1
12788,7598,2,"06/02/25 00:00:00",0,22,23722,1.2600,0,"06/02/25 00:00:00",1,1
12789,7598,3,"06/03/25 00:00:00",0,22,23954,1.2600,0,"06/03/25 00:00:00",1,1
12790,7598,4,"06/04/25 00:00:00",0,22,47733,1.2600,0,"06/04/25 00:00:00",1,1
12792,7600,10,"06/10/25 00:00:00",0,92,21002,4.1400,0,"06/10/25 00:00:00",1,1
12793,7593,30,"07/30/25 00:00:00",0,10,12000,2.6200,0,"07/30/25 00:00:00",1,1
12794,7598,5,"06/05/25 00:00:00",0,22,23452,1.2600,0,"06/05/25 00:00:00",1,1
12795,7598,6,"06/06/25 00:00:00",0,22,23433,1.2600,0,"06/06/25 00:00:00",1,1
12796,7598,7,"06/07/25 00:00:00",0,22,23356,1.2600,0,"06/07/25 00:00:00",1,1
12797,7598,8,"06/08/25 00:00:00",0,22,23587,1.2600,0,"06/08/25 00:00:00",1,1
12798,7598,0,,0,22,0,1.2600,0,,0,0
12799,7602,13,"06/13/25 00:00:00",0,54,4800,7.9900,0,"06/13/25 00:00:00",1,1
12800,7603,10,"07/10/25 00:00:00",0,123,1000,12.6000,0,"07/10/25 00:00:00",1,1
12801,7592,17,"07/17/25 00:00:00",0,180,1200,1.5500,0,"07/17/25 00:00:00",1,1
12802,7592,24,"07/24/25 00:00:00",0,180,1200,1.5500,0,"07/24/25 00:00:00",1,1
12803,7592,31,"07/31/25 00:00:00",0,180,1200,1.5500,0,"07/31/25 00:00:00",1,1
12804,7604,16,"07/16/25 00:00:00",0,209,22000,9.2000,0,"07/16/25 00:00:00",1,1
12806,7605,14,"06/14/25 00:00:00",0,22,23954,1.2600,0,"06/14/25 00:00:00",1,1
12807,7605,15,"06/15/25 00:00:00",0,22,24050,1.2600,0,"06/15/25 00:00:00",1,1
