id_conferma,compratore,venditore,qta,prezzo_acq,articolo,n_conf,data_conf,prezzo_vend,luogo_consegna,condizioni_pag,note,carico,arrivo,emailv,emailc,condizioni_pag_venditore
312,1,297,45000,0.5300,37,"228","04/20/17 00:00:00",0.5700,"Km. 16 Strada Provinciale Rivoltana, 20060 Truccazzano (MI)",1,"Latte Crudo Biologico. Fatturazione con pesata cliente.",1,0,0,0,
441,1,265,25000,0.3300,8,"340","04/05/18 00:00:00",0.3600,"A-5252 Aspach Wildenauerstraße 11",14,"Organic Pasteurized milk 3,5% - invoicing with average value. Latte bio pastorizzato 3,5% - fatturazione con media valori.",1,0,0,0,
157,343,16,125000,0.2150,38,"101","04/21/16 00:00:00",0.2700,"Via Provinciale 17 - 12050 Bosia (CN)",3,"LATTE CRUDO TEDESCO - GERMAN ORIGIN RAW MILK.",0,1,0,0,
160,439,12,25000,0.4450,37,"104","04/26/16 00:00:00",0.5050,"Via filadelfia, 220 - 10137 TORINO",14,"HU ORGANIC RAW MILK, delivery absolutely within 10 o' clock in the morning. Bacterial charge must be within the Italian legal limit - latte crudo Bio Ungherese, consegna entro le ore 10.00 di mattina. Carica Batterica entro il limite legale Italiano.",0,1,0,0,
165,354,265,26000,0.4150,37,"108","05/10/16 00:00:00",0.5100,"ASPACH, AUSTRIA",14,"AUSTRIAN ORIGIN ORGANIC RAW MILK.",1,0,0,0,
166,11,271,25000,0.3000,37,"109","05/10/16 00:00:00",0.4000,"Via delle Fosse n. 10  - 37050 VALLESE DI OPPEANO VR",2,"latte crudo BIO SLOVACCO - pagamento 30 giorni netti Ri.Ba. data carico. Fatturazione con la media delle pesate.",0,1,0,0,
164,11,271,25000,0.3000,37,"107","05/05/16 00:00:00",0.4000,"Via delle Fosse n. 10  - 37050 VALLESE DI OPPEANO VR",3,"ORGANIC FRESH RAW MILK SLOVAKIAN ORIGIN - INVOICING WITH  AVERAGE OF THE WEIGHBRIDGES.",0,1,0,0,
170,354,265,25000,0.4600,37,"113","05/19/16 00:00:00",0.5100,"MONGUZZO (CO)",2,"LATTE CRUDO BIO AUSTRIACO, pagamento a 30 gg netti data carico Ri.Ba. Scarico alle ore 22,00.",0,1,0,0,
172,496,41,0,0.0000,119,"115","05/26/16 00:00:00",0.0000,"PORTUGAL",1,"EDAM OFFCUTS  from Portugal.",1,0,0,0,
179,364,245,2000,9.5000,14,"120","06/03/16 00:00:00",10.5000,"via BRIANTEA 18, 22038 TAVERNERIO COMO",1,"AROUND 250 FROZEN ORGANIC PORK LEGS - DEBONED - DELIVERY DATE IS JUST AN INDICATION FOR OUR PROGRAM, DELIVERY PLANNED FOR THE END OF JUNE",0,1,0,0,
629,80,13,750,9.2800,189,"506","01/02/19 00:00:00",10.0800,"SAN GIOVANNI DEL DOSSO",13,"SOTTOFESA BOVINA BIO CONGELATA - VITELLONE <24 MESI",0,1,0,0,
632,1,284,75000,0.3500,193,"508","01/10/19 00:00:00",0.3600,"Haslacher Straße 12  -  79115 Freiburg",1,,1,0,0,0,
